Wavelength (nm);"required d ("")";SIS Instrument;R;BP (nm);SNR;tint (s);Polarimetry;T continuum;T continuum comment
455;0.05;IFS-M;200000.0;;1000.0;;True;;N/A
656;0.1;FBI;;;100.0;;False;;N/A
854;-1.0;IFS-M;200000.0;;1000.0;;True;;N/A
1082;-1.0;IFS-S;200000.0;;1000.0;;True;;N/A
1083;-1.0;IFS-S;200000.0;;1000.0;;True;;N/A
1565;-1.0;IFS-S;200000.0;;1000.0;;True;;N/A
396;0.1;IFS-M;200000.0;;1000.0;0.5;False;;N/A
587;0.1;IFS-M;200000.0;;1000.0;0.5;False;;N/A
656;0.1;IFS-M;200000.0;;1000.0;0.5;False;;N/A
854;0.1;IFS-M;200000.0;;1000.0;0.5;False;;N/A
1083;0.1;IFS-S;200000.0;;1000.0;1.0;False;;N/A
656;0.04;IFS-M;200000.0;;1000.0;1.0;True;;N/A
854;-1.0;IFS-M;200000.0;;1000.0;1.0;True;;N/A
1083;-1.0;IFS-S;200000.0;;1000.0;1.0;True;;N/A
656;0.04;IFS-M;200000.0;;2000.0;3.0;True;;N/A
854;-1.0;IFS-M;200000.0;;2000.0;3.0;True;;N/A
1083;-1.0;IFS-S;200000.0;;2000.0;3.0;True;;N/A
656;0.1;IFS-M;200000.0;;1000.0;1.0;False;;N/A
854;0.1;IFS-M;200000.0;;1000.0;1.0;True;;N/A
1083;0.1;IFS-S;200000.0;;1000.0;1.0;True;;N/A
854;0.1;IFS-M;200000.0;;10000.0;;True;;N/A
525;0.06;IFS-M;200000.0;;2000.0;4.0;True;;N/A
455;0.06;IFS-M;200000.0;;2000.0;4.0;False;;N/A
656;0.06;IFS-M;200000.0;;2000.0;4.0;False;;N/A
1565;-1.0;IFS-S;200000.0;;2000.0;0.5;True;;N/A
630;0.04;IFS-M;200000.0;;500.0;0.5;True;;N/A
656;0.04;IFS-M;200000.0;;500.0;0.5;False;;N/A
854;-1.0;IFS-M;200000.0;;500.0;0.5;True;;N/A
396;-1.0;FBI;;;100.0;;False;;N/A
630;0.1;IFS-M;200000.0;;1000.0;2.0;False;;N/A
656;-1.0;FBI;;;100.0;;False;;N/A
854;0.1;IFS-M;200000.0;;1000.0;2.0;False;;N/A
854;-1.0;FBI;;;100.0;;False;;N/A
1083;0.1;IFS-S;200000.0;;1000.0;2.0;False;;N/A
388;0.05;FBI;;;100.0;;False;;N/A
396;0.05;FBI;;;100.0;;False;;N/A
430;0.05;FBI;;;100.0;;False;;N/A
630;0.05;IFS-M;200000.0;;2000.0;0.5;False;;N/A
854;-1.0;IFS-M;200000.0;;2000.0;0.5;False;;N/A
1083;-1.0;IFS-S;200000.0;;2000.0;0.5;False;;N/A
461;0.04;TIS;50000.0;0.1;;0.6;True;;N/A
517;0.23;IFS-M;200000.0;;;;True;;N/A
455;0.45;IFS-M;200000.0;;;;True;;N/A
423;0.28;IFS-M;200000.0;;;;True;;N/A
396;0.53;IFS-M;200000.0;;;;True;;N/A
849;-1.0;IFS-M;200000.0;;;;True;;N/A
854;0.5;IFS-M;200000.0;;;;True;;N/A
589;0.9;IFS-M;200000.0;;;;True;;N/A
